Round,Heat,Sail Number,Skipper Name,Club,Observer
Q8,Heat 1,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q8,Heat 1,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q8,Heat 1,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q8,Heat 1,86,Stephen Elkington,Redlands Radio Sailing Club,
Q8,Heat 1,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q8,Heat 1,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q8,Heat 1,50,Grant Hudson,Redlands Radio Sailing Club,
Q8,Heat 2,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q8,Heat 2,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q8,Heat 2,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q8,Heat 2,81,Graham Clough,North Shore Radio Yacht Squadron,
Q8,Heat 2,36,Andrew Crocker,Albert Park Model Yacht Club,
Q8,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q8,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q8,Heat 2,124,John Glease,Lake Macquarie Radio Yacht Club,
Q8,Heat 2,135,Graham Cowling,Paradise Radio Yacht Club,
Q8,Heat 2,66,Roger Paul,Champion Lakes,
Q8,Heat 2,09,Daniel Bergan,Paradise Radio Yacht Club,
Q8,Heat 2,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q8,Heat 2,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q8,Heat 2,40,Garth Halton,North Brisbane Radio Yacht Club,
Q8,Heat 2,41,Robert Mews,Champion Lakes,
Q8,Heat 2,58,Bob Senior,North Shore Radio Yacht Squadron,
